step,information-uninformed_num,information-uninformed_coverage,information-informed_num,information-informed_coverage,information-disinformed_num,information-disinformed_coverage,information-informing_num,information-informing_coverage,information-disinforming_num,information-disinforming_coverage
197,346,0.346,521,0.521,117,0.117,16,0.016,,
198,341,0.341,538,0.538,115,0.115,4,0.004,2,0.002
199,339,0.339,538,0.538,117,0.117,5,0.005,1,0.001
200,336,0.336,538,0.538,117,0.117,8,0.008,1,0.001
201,330,0.33,545,0.545,118,0.118,6,0.006,1,0.001
202,327,0.327,546,0.546,119,0.119,7,0.007,1,0.001
203,324,0.324,548,0.548,121,0.121,7,0.007,,
204,321,0.321,550,0.55,120,0.12,8,0.008,1,0.001
205,320,0.32,552,0.552,120,0.12,7,0.007,1,0.001
206,319,0.319,552,0.552,119,0.119,8,0.008,2,0.002
207,315,0.315,553,0.553,123,0.123,9,0.009,,
208,315,0.315,556,0.556,122,0.122,6,0.006,1,0.001
209,314,0.314,554,0.554,123,0.123,9,0.009,,
210,311,0.311,561,0.561,122,0.122,5,0.005,1,0.001
211,310,0.31,557,0.557,123,0.123,10,0.01,,
212,306,0.306,568,0.568,122,0.122,3,0.003,1,0.001
213,306,0.306,562,0.562,123,0.123,9,0.009,,
214,305,0.305,564,0.564,123,0.123,8,0.008,,
215,303,0.303,566,0.566,122,0.122,8,0.008,1,0.001
216,301,0.301,570,0.57,124,0.124,5,0.005,,
217,300,0.3,573,0.573,124,0.124,3,0.003,,
218,298,0.298,571,0.571,123,0.123,7,0.007,1,0.001
219,295,0.295,573,0.573,124,0.124,8,0.008,,
220,294,0.294,576,0.576,124,0.124,6,0.006,,
221,292,0.292,575,0.575,124,0.124,9,0.009,,
222,288,0.288,583,0.583,123,0.123,5,0.005,1,0.001
223,286,0.286,584,0.584,124,0.124,5,0.005,1,0.001
224,285,0.285,579,0.579,126,0.126,10,0.01,,
225,283,0.283,588,0.588,124,0.124,3,0.003,2,0.002
226,283,0.283,585,0.585,126,0.126,6,0.006,,
227,279,0.279,587,0.587,125,0.125,8,0.008,1,0.001
228,279,0.279,588,0.588,124,0.124,8,0.008,1,0.001
229,272,0.272,599,0.599,124,0.124,4,0.004,1,0.001
230,270,0.27,598,0.598,125,0.125,7,0.007,,
231,266,0.266,599,0.599,125,0.125,10,0.01,,
232,265,0.265,604,0.604,125,0.125,6,0.006,,
233,262,0.262,609,0.609,125,0.125,4,0.004,,
234,262,0.262,607,0.607,123,0.123,6,0.006,2,0.002
235,261,0.261,601,0.601,125,0.125,13,0.013,,
236,258,0.258,611,0.611,124,0.124,6,0.006,1,0.001
237,257,0.257,613,0.613,125,0.125,5,0.005,,
238,255,0.255,613,0.613,123,0.123,7,0.007,2,0.002
239,251,0.251,620,0.62,124,0.124,4,0.004,1,0.001
240,250,0.25,620,0.62,124,0.124,5,0.005,1,0.001
241,248,0.248,618,0.618,125,0.125,9,0.009,,
242,245,0.245,628,0.628,124,0.124,2,0.002,1,0.001
243,245,0.245,624,0.624,125,0.125,6,0.006,,
244,244,0.244,626,0.626,125,0.125,5,0.005,,
245,243,0.243,627,0.627,125,0.125,5,0.005,,
246,241,0.241,628,0.628,125,0.125,6,0.006,,
247,240,0.24,629,0.629,125,0.125,6,0.006,,
248,239,0.239,628,0.628,124,0.124,8,0.008,1,0.001
249,234,0.234,634,0.634,125,0.125,7,0.007,,
250,231,0.231,641,0.641,125,0.125,3,0.003,,
251,230,0.23,641,0.641,125,0.125,4,0.004,,
252,229,0.229,641,0.641,125,0.125,5,0.005,,
253,228,0.228,640,0.64,125,0.125,7,0.007,,
254,228,0.228,638,0.638,125,0.125,9,0.009,,
255,225,0.225,646,0.646,124,0.124,4,0.004,1,0.001
256,223,0.223,646,0.646,125,0.125,5,0.005,1,0.001
257,221,0.221,649,0.649,126,0.126,4,0.004,,
258,220,0.22,650,0.65,126,0.126,4,0.004,,
259,218,0.218,648,0.648,124,0.124,8,0.008,2,0.002
260,214,0.214,654,0.654,127,0.127,5,0.005,,
261,214,0.214,655,0.655,127,0.127,4,0.004,,
262,213,0.213,652,0.652,126,0.126,8,0.008,1,0.001
263,207,0.207,660,0.66,127,0.127,6,0.006,,
264,206,0.206,661,0.661,125,0.125,6,0.006,2,0.002
265,204,0.204,667,0.667,126,0.126,2,0.002,1,0.001
266,203,0.203,665,0.665,126,0.126,5,0.005,1,0.001
267,203,0.203,666,0.666,126,0.126,4,0.004,1,0.001
268,200,0.2,669,0.669,126,0.126,4,0.004,1,0.001
269,197,0.197,673,0.673,127,0.127,2,0.002,1,0.001
270,196,0.196,673,0.673,128,0.128,3,0.003,,
271,195,0.195,668,0.668,127,0.127,9,0.009,1,0.001
272,191,0.191,672,0.672,128,0.128,9,0.009,,
273,188,0.188,679,0.679,128,0.128,5,0.005,,
274,186,0.186,682,0.682,127,0.127,4,0.004,1,0.001
275,185,0.185,679,0.679,129,0.129,7,0.007,,
276,184,0.184,682,0.682,129,0.129,5,0.005,,
277,182,0.182,683,0.683,129,0.129,6,0.006,,
278,181,0.181,682,0.682,128,0.128,8,0.008,1,0.001
279,180,0.18,688,0.688,128,0.128,3,0.003,1,0.001
280,180,0.18,680,0.68,129,0.129,11,0.011,,
281,175,0.175,689,0.689,128,0.128,7,0.007,1,0.001
282,174,0.174,695,0.695,128,0.128,2,0.002,1,0.001
283,173,0.173,690,0.69,130,0.13,7,0.007,,
284,169,0.169,696,0.696,129,0.129,5,0.005,1,0.001
285,163,0.163,702,0.702,129,0.129,5,0.005,1,0.001
286,161,0.161,703,0.703,130,0.13,6,0.006,,
287,161,0.161,699,0.699,129,0.129,10,0.01,1,0.001
288,156,0.156,705,0.705,130,0.13,9,0.009,,
289,154,0.154,711,0.711,130,0.13,5,0.005,,
290,152,0.152,713,0.713,129,0.129,5,0.005,1,0.001
291,149,0.149,721,0.721,129,0.129,1,0.001,,
292,147,0.147,720,0.72,129,0.129,4,0.004,,
293,145,0.145,722,0.722,129,0.129,4,0.004,,
294,143,0.143,723,0.723,129,0.129,5,0.005,,
295,141,0.141,727,0.727,128,0.128,3,0.003,1,0.001
296,140,0.14,726,0.726,129,0.129,4,0.004,1,0.001
297,137,0.137,727,0.727,130,0.13,6,0.006,,
298,135,0.135,732,0.732,129,0.129,3,0.003,1,0.001
299,135,0.135,734,0.734,129,0.129,1,0.001,1,0.001
300,135,0.135,729,0.729,130,0.13,6,0.006,,
301,135,0.135,729,0.729,130,0.13,6,0.006,,
302,134,0.134,730,0.73,130,0.13,6,0.006,,
303,134,0.134,734,0.734,129,0.129,2,0.002,1,0.001
304,133,0.133,735,0.735,131,0.131,1,0.001,,
305,133,0.133,731,0.731,130,0.13,5,0.005,1,0.001
306,131,0.131,734,0.734,132,0.132,3,0.003,,
307,131,0.131,733,0.733,131,0.131,4,0.004,1,0.001
308,131,0.131,734,0.734,132,0.132,3,0.003,,
309,131,0.131,735,0.735,132,0.132,2,0.002,,
310,131,0.131,727,0.727,132,0.132,10,0.01,,
311,129,0.129,735,0.735,131,0.131,4,0.004,1,0.001
312,126,0.126,735,0.735,133,0.133,6,0.006,,
313,125,0.125,740,0.74,133,0.133,2,0.002,,
314,125,0.125,739,0.739,133,0.133,3,0.003,,
315,125,0.125,740,0.74,133,0.133,2,0.002,,
316,125,0.125,735,0.735,133,0.133,7,0.007,,
317,123,0.123,738,0.738,133,0.133,6,0.006,,
318,122,0.122,743,0.743,133,0.133,2,0.002,,
319,122,0.122,741,0.741,132,0.132,4,0.004,1,0.001
320,119,0.119,740,0.74,135,0.135,6,0.006,,
321,116,0.116,742,0.742,134,0.134,7,0.007,1,0.001
322,115,0.115,746,0.746,135,0.135,4,0.004,,
323,113,0.113,750,0.75,134,0.134,2,0.002,1,0.001
324,113,0.113,749,0.749,135,0.135,3,0.003,,
325,113,0.113,751,0.751,135,0.135,1,0.001,,
326,113,0.113,751,0.751,135,0.135,1,0.001,,
327,113,0.113,747,0.747,135,0.135,5,0.005,,
328,113,0.113,748,0.748,132,0.132,4,0.004,3,0.003
329,111,0.111,751,0.751,135,0.135,3,0.003,,
330,110,0.11,752,0.752,132,0.132,4,0.004,2,0.002
331,109,0.109,754,0.754,133,0.133,3,0.003,1,0.001
332,108,0.108,755,0.755,134,0.134,3,0.003,,
333,106,0.106,759,0.759,134,0.134,1,0.001,,
334,106,0.106,754,0.754,132,0.132,6,0.006,2,0.002
335,104,0.104,756,0.756,134,0.134,5,0.005,1,0.001
336,102,0.102,755,0.755,137,0.137,6,0.006,,
337,98,0.098,758,0.758,137,0.137,7,0.007,,
338,96,0.096,763,0.763,137,0.137,4,0.004,,
339,94,0.094,766,0.766,137,0.137,3,0.003,,
340,93,0.093,767,0.767,137,0.137,3,0.003,,
341,92,0.092,767,0.767,137,0.137,4,0.004,,
342,92,0.092,767,0.767,137,0.137,4,0.004,,
343,92,0.092,766,0.766,137,0.137,5,0.005,,
344,90,0.09,769,0.769,137,0.137,4,0.004,,
345,90,0.09,768,0.768,137,0.137,5,0.005,,
346,89,0.089,770,0.77,136,0.136,4,0.004,1,0.001
347,87,0.087,775,0.775,137,0.137,1,0.001,,
348,87,0.087,776,0.776,137,0.137,,,,
349,87,0.087,772,0.772,137,0.137,4,0.004,,
350,86,0.086,777,0.777,135,0.135,1,0.001,1,0.001
351,85,0.085,774,0.774,136,0.136,5,0.005,,
352,85,0.085,776,0.776,136,0.136,3,0.003,,
353,84,0.084,777,0.777,136,0.136,3,0.003,,
354,83,0.083,780,0.78,133,0.133,1,0.001,3,0.003
355,82,0.082,777,0.777,137,0.137,4,0.004,,
356,82,0.082,776,0.776,136,0.136,5,0.005,1,0.001
357,81,0.081,776,0.776,137,0.137,6,0.006,,
358,78,0.078,783,0.783,137,0.137,2,0.002,,
359,78,0.078,779,0.779,137,0.137,6,0.006,,
360,78,0.078,780,0.78,136,0.136,5,0.005,1,0.001
361,74,0.074,786,0.786,138,0.138,2,0.002,,
362,74,0.074,787,0.787,138,0.138,1,0.001,,
363,74,0.074,784,0.784,138,0.138,4,0.004,,
364,74,0.074,783,0.783,138,0.138,5,0.005,,
365,74,0.074,782,0.782,137,0.137,6,0.006,1,0.001
366,71,0.071,784,0.784,138,0.138,7,0.007,,
367,70,0.07,791,0.791,138,0.138,1,0.001,,
